author,posted_on,rating,text,Cleaned_Text,Cluster_TFIDF,Cluster_Word2Vec
"Alantae of Chesterfeild, MI","Nov. 22, 2016",1,"I used to love Comcast. Until all these constant updates. My internet and cable crash a lot at night, and sometimes during the day, some channels don't even work and on demand sometimes don't play either. I wish they will do something about it. Because just a few mins ago, the internet have crashed for about 20 mins for no reason. I'm tired of it and thinking about switching to Wow or something. Please do not get Xfinity.",used love comcast constant update internet cable crash lot night sometimes day channel dont even work demand sometimes dont play either wish something min ago internet crashed min reason im tired thinking switching wow something please get xfinity,1,1
"Vera of Philadelphia, PA","Nov. 19, 2016",1,I'm so over Comcast! The worst internet provider. I'm taking online classes and multiple times was late with my assignments because of the power interruptions in my area that lead to poor quality internet service. Definitely switching to Verizon. I'd rather pay $10 extra then dealing w/ Comcast and non stopping internet problems.,im comcast worst internet provider im taking online class multiple time late assignment power interruption area lead poor quality internet service definitely switching verizon id rather pay extra dealing w comcast non stopping internet problem,0,0
"Sarah of Rancho Cordova, CA","Nov. 17, 2016",1,"If I could give them a negative star or no stars on this review I would. I have never worked with any industry with as bad of customer service as Comcast. It is not a matter of money because I make well enough above and beyond to afford their services but they are a legitimate ripoff. I think they are the biggest scam of since the mortgage industry's major meltdown and I hope I move somewhere where Comcast does not exist. The disregard to want to help or do the right thing is honestly astounding. If you have to call, which you do FOR ALL ISSUES - billing, connection/service, adding or removing service, errors, it does not matter you will be transferred minimum of 4 times. Everyone says the same thing and passes the issues to the next person and no one resolves the problem.They offer promotional packages in small timeframes and can never access them again so they then upgrade you without you wishing and change your billing. It has been 5 months and I have been overcharged $40 a month since I started with them. The blatant rudeness that must make you qualified to do this job is the type of quality service that gets you this review. So... Dear Comcast, you suck. Sincerely, a customer who cannot wait to never use your service again.",could give negative star star review would never worked industry bad customer service comcast matter money make well enough beyond afford service legitimate ripoff think biggest scam since mortgage industry major meltdown hope move somewhere comcast exist disregard want help right thing honestly astounding call issue billing connectionservice adding removing service error matter transferred minimum time everyone say thing pass issue next person one resolve problemthey offer promotional package small timeframes never access upgrade without wishing change billing month overcharged month since started blatant rudeness must make qualified job type quality service get review dear comcast suck sincerely customer cannot wait never use service,0,0
"Dennis of Manchester, NH","Nov. 16, 2016",1,"I've had the worst experiences so far since install on 10/4/16. Nothing but problems. Two no shows on scheduled service appointments, extreme difficulty in adding boxes to the second floor. What is so difficult about adding boxes to an existing account? No thank you, I'm not starting a second account for the second floor of the same house! A separate bundle package? All I wanted was just to add a few boxes. Apparently this is not possible. Well then, I guess it's not possible to remain a customer!",ive worst experience far since install nothing problem two show scheduled service appointment extreme difficulty adding box second floor difficult adding box existing account thank im starting second account second floor house separate bundle package wanted add box apparently possible well guess possible remain customer,0,0
"Ryan of Bellevue, WA","Nov. 14, 2016",1,"Check your contract when you sign up for Comcast as their advertised offers do not match the contract they issue. I signed up for $49.99 150Mbps internet for 2 years, however my contract has $19.99 for 25Mbps internet for 2 years. They say there is an add on in place for $30 which boost it to Blast! Pro, however this isn't part of the contract, which means that Comcast can increase the price whenever they want within the 2 years. This means I haven't received the advertised rate. Comcast has so far refused to issue corrected contract, or issue in writing that the $30 will remain at that price for 2 years. I just have to trust them. So watch out, Comcast is doing the usual illegal practices, I'm guessing to catch people out and hope they don't notice and end up paying more than they should.",check contract sign comcast advertised offer match contract issue signed mbps internet year however contract mbps internet year say add place boost blast pro however isnt part contract mean comcast increase price whenever want within year mean havent received advertised rate comcast far refused issue corrected contract issue writing remain price year trust watch comcast usual illegal practice im guessing catch people hope dont notice end paying,1,1
"Terri of Mobile, AL","Nov. 9, 2016",1,Thank God. I am changing to Dish. They gave me awesome pricing and super people to deal with. You can actually understand what they are saying. I'm so excited to finally be able to return this equipment although still haven't received the home security yet as promised 4 times. Go to h*ll Comcast. You have made me miserable and cause me to miss many hours of work with your promises.,thank god changing dish gave awesome pricing super people deal actually understand saying im excited finally able return equipment although still havent received home security yet promised time go hll comcast made miserable cause miss many hour work promise,0,0
"Kellie of Salt Lake City, UT","Nov. 9, 2016",1,"I Have been a long time customer and only have Xfinity as my ISP for a while now. While I was in the local Walmart on November 4, 2016, there were customer representatives from Xfinity running promotions for and in the Salt Lake City area. Spoke with a representative and was able to get and signed a contract for Pro Blast at $50.00 a month with no contract or early termination fees. I received an email from Xfinity stating the changes that would be made to my account. It stated that not only would it be under contract for 24 months but there would be early termination fees. This is not what I had originally signed up for and it specifically states this on the contract that I signed. Contacted Xfinity customer service and was told since they cannot see the contract over the phone that I would need to go to Xfinity store in person. Went to Xfinity store on November 8, 2016 and was told that it would be under contract and there was no way around it. Because of this I have cancelled the upgrade and went back to my original plan. It's plain and simple. When a contract is signed it should be honored for what is stated on it. Xfinity is dishonest and not trustworthy. Therefore I will be looking and changing my ISP as soon as possible to another company. Xfinity does not deserve a paycheck from me or anyone else that I know.",long time customer xfinity isp local walmart november customer representative xfinity running promotion salt lake city area spoke representative able get signed contract pro blast month contract early termination fee received email xfinity stating change would made account stated would contract month would early termination fee originally signed specifically state contract signed contacted xfinity customer service told since cannot see contract phone would need go xfinity store person went xfinity store november told would contract way around cancelled upgrade went back original plan plain simple contract signed honored stated xfinity dishonest trustworthy therefore looking changing isp soon possible another company xfinity deserve paycheck anyone else know,1,0
"Kathleen of New Haven, CT","Nov. 6, 2016",2,"There is a malfunction on the DVR manager which is preventing us from adding more recordings. Customer service is fairly certain that the problem is from the signal from their system to ours, but protocol demands that they access our home before investigating that option. Since we work, that cannot be done until next Saturday. Customer service tech agreed that this seems illogical since logic would dictate that one would investigate the most probably malfunction first, but insists they must follow protocol. This is extremely frustrating. After 35 years as a customer of Comcast & their predecessors, I am investigating alternatives.",malfunction dvr manager preventing u adding recording customer service fairly certain problem signal system protocol demand access home investigating option since work cannot done next saturday customer service tech agreed seems illogical since logic would dictate one would investigate probably malfunction first insists must follow protocol extremely frustrating year customer comcast predecessor investigating alternative,0,0
"Shira of Bloomfield, NJ","Nov. 5, 2016",1,Charges overwhelming. Comcast service rep was so ignorant and rude when I call to resolve my issue with my bill. I emailed Tom ** his rep was rude to me. None of the representative was helpful. They all just pass me on to other people. I am cutting my service with Comcast.,charge overwhelming comcast service rep ignorant rude call resolve issue bill emailed tom rep rude none representative helpful pas people cutting service comcast,2,2
"Kristy of Alpharetta, GA","Nov. 2, 2016",1,"I have had cable, DISH, and U-verse, etc. in the past. All are eh... but you know what? Comcast takes the cake. I have never been driven to take time out of my day just to gripe online for all to see. But consumers, stay away! So my first terrible experience with Comcast is that they took 5 phones and 2 months to come out and bury the lines they had to lay in my front yard to get the cable needed into my house. Finally got someone when my special needs neighbor tripped and fell!Now 3 months into my contract, I have had my internet, phone, and TV go out for HOURS at a time. I would spend 3 hours on with a tech when it will come back up after the technician resets the router manually for the 3rd or 4th time. I have had it, I work from home occasionally and this is a huge inconvenience! The hardware is faulty, I understand that sometimes you get a lemon... but 3 months! 3 months! I have had it. Worst company ever. Crappy equipment and terrible customer service, and worse is the technicians they hire! Not a clue! Comcast should send a technician out here to switch out this equipment before I set a bonfire to it.",cable dish uverse etc past eh know comcast take cake never driven take time day gripe online see consumer stay away first terrible experience comcast took phone month come bury line lay front yard get cable needed house finally got someone special need neighbor tripped fellnow month contract internet phone tv go hour time would spend hour tech come back technician reset router manually rd th time work home occasionally huge inconvenience hardware faulty understand sometimes get lemon month month worst company ever crappy equipment terrible customer service worse technician hire clue comcast send technician switch equipment set bonfire,0,0
